date,type,description,borough
20230410,bribery,Attempted payoff to a health inspector; witness recorded the audio of the meeting,Manhattan
20250805,fraud,Insurance scam involving a staged house fire,Queens
20241021,assault,Altercation at a sporting event; multiple fans witnessed the hit,Brooklyn
20230615,theft,Valuables stolen from an unlocked vehicle,Bronx
20250122,robbery,Bank robbery involving a masked individual; teller provided a description,Manhattan
20240909,arson,Small fire started in a public restroom,Staten Island
20230211,murder,Fatal stabbing in a subway station; witness on the platform fled the scene,Manhattan
20251210,fraud,Phishing attack targeting local university students,Manhattan
20240428,bribery,Bribe paid to bypass environmental safety codes; witnessed by a technician,Brooklyn
20230810,theft,Purse snatched from a shopping cart,Staten Island
20250319,assault,Pushing and shoving match between drivers; witness recorded it on a phone,Queens
20240129,arson,Intentional fire in an abandoned warehouse,Brooklyn
20231115,robbery,Carjacking at a red light; witness gave a partial license plate,Bronx
20251010,theft,Lawn equipment stolen from a shed,Manhattan
20240606,murder,Homicide investigation following a shooting at a private residence; neighbor heard shots,Staten Island
20230501,bribery,Bribe offered to a licensing clerk,Manhattan
20250722,fraud,Investment fraud promising high returns; a whistleblower provided evidence,Manhattan
20241111,assault,Customer assaulted a staff member over a refund dispute,Staten Island
20230302,arson,Fire set to a construction crane; night watchman witnessed the act,Brooklyn
20250915,theft,Laptop stolen from a public library,Queens
20240215,robbery,Armed robbery of a convenience store; clerk provided a detailed statement,Brooklyn
20230714,fraud,Mortgage fraud involving forged signatures,Bronx
20250412,murder,Victim found with multiple gunshot wounds; no immediate witnesses found,Manhattan
20241220,bribery,Bribe paid for a liquor license,Staten Island
20231030,assault,Physical fight between fans at a concert; security guards acted as witnesses,Manhattan
20250105,theft,Tools stolen from a work truck,Manhattan
20240828,arson,Intentional fire set to a vacant home; neighbor caught it on camera,Brooklyn
20230919,robbery,Mugging in an alleyway; a passerby called 911 immediately,Staten Island
20250528,fraud,Counterfeit currency passed at a farmers market,Queens
20240118,murder,Fatal shooting in a residential area; several witnesses identified a car,Brooklyn
20231225,bribery,Attempted bribe of a building inspector,Bronx
20251119,theft,Bicycle stolen from a balcony; witness saw the suspect climbing,Manhattan
20240405,assault,Threats made with a weapon during a dispute,Staten Island
20230719,arson,Trash can fire set behind a grocery store,Manhattan
20250220,robbery,Store clerk robbed at gunpoint; witness hid in the back room,Manhattan
20241108,theft,Phone stolen from a table while the owner was distracted,Brooklyn
20230505,murder,Investigation into a fatal shooting at a strip mall; witness identified a sedan,Staten Island
20250819,fraud,Social security fraud using a stolen identity,Queens
20240310,bribery,Bribe paid to avoid a building code violation; witness provided internal emails,Brooklyn
20230915,assault,Physical altercation between two motorists,Bronx
20251215,theft,Copper wiring stolen from a construction site; witness saw a white truck,Manhattan
20240705,robbery,Armed robbery of a pharmacy,Staten Island
20230227,arson,Suspicious fire in an apartment basement; resident saw a suspect,Brooklyn
20250625,murder,Homicide investigation at a local motel; no witnesses reported,Manhattan
20240122,fraud,Online romance scam leading to financial loss,Brooklyn
20231008,bribery,Cash exchange observed between a developer and an official,Staten Island
20250910,assault,Security guard punched by an unruly patron; multiple witnesses present,Queens
20240512,theft,Bicycle stolen from a park bench,Brooklyn
20230815,robbery,Mugging at a transit stop; witness provided a suspect sketch,Bronx
20250131,arson,Structure fire at a storage facility,Manhattan
20240925,murder,Body discovered in a wooded area; homicide suspected; no witnesses,Staten Island
20230325,bribery,Bribe offered to a procurement officer,Brooklyn
20251105,theft,Purse taken from a grocery store cart; witness saw the suspect flee,Manhattan
20240228,fraud,Email scam asking for personal information,Brooklyn
20230730,assault,Bar fight resulting in minor injuries; bartender was a witness,Staten Island
20251025,robbery,Pedestrian robbed of their cell phone at gunpoint,Queens
20240419,arson,Small fire started in a public park; witness reported a suspect fleeing,Brooklyn
20231128,theft,Laptop taken from a university cafe,Bronx
20250422,murder,Shooting death outside a nightclub; many witnesses provided descriptions,Manhattan
20241014,bribery,Contractor offered cash for an inspection pass,Staten Island
20230514,fraud,Credit card fraud involving unauthorized orders; bank teller saw the card used,Manhattan
20250810,assault,Domestic violence incident reported by a neighbor,Brooklyn
20241201,theft,Tools stolen from a garage; homeowner saw a shadow,Brooklyn
20230612,robbery,Convenience store holdup; witness provided a vehicle plate,Staten Island
20251125,arson,Vehicle set on fire in a public lot,Queens
20240322,murder,Drive-by shooting; several shell casings recovered; witness saw a dark SUV,Brooklyn
20230910,bribery,Bribe paid to bypass building safety codes,Bronx
20250210,theft,Shoplifting of electronics; security guard acted as witness,Manhattan
20240115,fraud,Tax refund fraud using a deceased person's info,Staten Island
20231228,assault,Physical fight at a sporting event; captured on camera with dozens of witnesses,Manhattan
20250505,robbery,Mugging in a public park,Manhattan
20240822,arson,Intentional fire set to a fence; neighbor saw a suspect with a gas can,Brooklyn
20230319,theft,Package stolen from a porch,Staten Island
20250711,murder,Fatal stabbing in a residential driveway; witness saw a getaway car,Queens
20240404,bribery,Bribe offered to a city official for a contract bid,Brooklyn
20231111,fraud,Counterfeit checks used for a large purchase; witness saw the suspect flee,Bronx
20251230,assault,Altercation at a transit station,Manhattan
20240618,theft,Bicycle stolen from a rack; witness saw the lock being cut,Staten Island
20231019,robbery,Bank robbery involving a masked suspect; customers were present,Brooklyn
20250919,arson,Structure fire at a warehouse,Manhattan
20241115,murder,Investigation into a fatal shooting; neighbor reported hearing shots,Brooklyn
20230811,fraud,Identity theft used to open store accounts,Staten Island
20250401,bribery,Bribe paid to an official; witness provided a photo of the envelope,Queens
20240122,theft,Lawn equipment stolen from a shed,Brooklyn
20230925,assault,Person hit with a glass bottle; a bartender saw the incident,Bronx
20251015,robbery,Armed robbery of a pharmacy; witness provided a detailed statement,Brooklyn
20240505,arson,Small fire set in an abandoned lot,Staten Island
20230112,murder,Homicide investigation following a gang shooting; no witnesses came forward,Manhattan
20250617,fraud,Check kiting scheme uncovered at a bank,Manhattan
20240210,bribery,Bribe offered to a DMV clerk; coworker reported the incident,Brooklyn
20231105,theft,Phone stolen from a restaurant table,Staten Island
20250830,assault,Dispute between coworkers escalated to violence; several witnesses identified the suspect,Queens
20240612,robbery,Store clerk robbed during a night shift,Brooklyn
20230419,arson,House fire determined to be arson; neighbor saw someone running away,Bronx
20251212,murder,Homicide resulting from a botched drug deal,Manhattan
20240101,fraud,Phishing attack targeting corporate employees; IT acted as witness,Staten Island
20231015,bribery,Bribe offered to influence a legal case,Manhattan
20250314,theft,Backpack stolen from a bus station; witness saw the suspect,Brooklyn
20241118,assault,Road rage incident leading to a fight; witness recorded it on a phone,Brooklyn
20230711,robbery,Convenience store robbery at gunpoint,Staten Island
20250920,arson,Vehicle fire spread to a building; neighbor provided doorbell camera footage,Queens
20240505,murder,Fatal stabbing in a subway station,Brooklyn
20230214,fraud,Investment scam targeting local seniors; one victim provided a statement,Bronx
20251125,bribery,Attempted bribe of a city official,Manhattan
20240801,theft,Bicycle taken from a residential porch; witness saw a teenager,Staten Island
20230630,assault,Physical fight at a bar,Brooklyn
20251210,robbery,Pedestrian robbed of their watch; no witnesses in the alleyway,Manhattan
20240112,arson,Trash fire set behind a shopping center,Brooklyn
20230925,murder,Shooting at a party; multiple witnesses identified the shooter,Staten Island
20250418,fraud,Skimming device found on an ATM; witness reported suspicious activity,Queens
20241030,theft,Tools stolen from a construction site,Brooklyn
20231111,bribery,Bribe paid to bypass a building inspection; coworker witnessed the exchange,Bronx
20250702,assault,Security guard assaulted by a trespasser,Brooklyn
20240322,robbery,Mugging at a gas station; witness provided a partial license plate,Staten Island
20230528,arson,Intentional fire set to a fence,Manhattan
20250228,murder,Body discovered in an abandoned building; homicide suspected; no witnesses,Manhattan
20240909,fraud,Unemployment fraud involving stolen info,Brooklyn
20230819,theft,Retail theft of electronics; security guard acted as the primary witness,Staten Island
20251215,bribery,Bribe offered to a code officer,Queens
20240405,assault,Bar fight leading to hospitalizations; dozens of patrons witnessed it,Brooklyn
20230129,robbery,Armed robbery of a pedestrian,Bronx
20250617,arson,Small fire started in a vacant storefront; witness reported a suspect,Brooklyn
20241102,murder,Fatal shooting in a residential driveway,Staten Island
20231008,fraud,Check fraud at a local boutique; witness identified the suspect,Brooklyn
20250131,theft,Package stolen from a porch,Manhattan
20240512,bribery,Bribe offered to a city official; secretary witnessed the meeting,Brooklyn
20230714,assault,Physical altercation in a parking lot,Staten Island
20250325,robbery,Convenience store robbery; witness hid in the back room,Queens
20241220,arson,Fire set to a vehicle in a park,Brooklyn
20230227,murder,Investigation into a fatal shooting; neighbor heard the altercation,Bronx
20250810,fraud,Insurance fraud involving property damage; adjuster acted as a witness,Manhattan
20240606,theft,Shoplifting of luxury goods,Staten Island
20230305,bribery,Bribe paid to a building inspector; witnessed by a technician,Manhattan
20251015,assault,Threats made with a weapon during a dispute,Manhattan
20240128,robbery,Carjacking at gunpoint; witness provided a description of the car,Brooklyn
20231115,arson,House fire determined to be arson; neighbor saw someone running,Staten Island
20250522,theft,Laptop stolen from a library,Queens
20240701,murder,Fatal stabbing in a public park; three witnesses provided statements,Brooklyn
20230919,fraud,Investment scam targeting the elderly,Bronx
20251119,bribery,Bribe paid to influence a city contract; witnessed by an aide,Manhattan
20240215,theft,Power tools stolen from a work truck,Staten Island
20230628,assault,Domestic violence incident reported by a neighbor,Brooklyn
20250814,robbery,Store clerk robbed during a night shift; witness saw the getaway car,Brooklyn
20241022,arson,Garbage fire set behind a building,Brooklyn
20230501,murder,Homicide investigation following a gang-related shooting,Staten Island
20250412,fraud,Email phishing scam; IT department acted as a witness,Queens
20241215,theft,Bicycle stolen from a rack; witness saw the suspect flee on foot,Brooklyn
20230811,bribery,Bribe offered to influence a legal case,Bronx
20250205,assault,Fight in a parking garage; security cameras and one witness recorded it,Brooklyn
20240419,robbery,Mugging in an alleyway,Staten Island
20230122,arson,Structure fire at a storage facility; arson suspected; no witnesses,Manhattan
20251111,theft,Purse stolen from the back of a chair,Brooklyn
20240705,murder,Homicide resulting from a dispute; neighbor identified the suspect,Brooklyn
20231030,fraud,Online romance scam leading to financial loss,Staten Island
20250105,bribery,Kickback given to a purchasing agent; witnessed by an accountant,Queens
20240914,theft,Package theft caught on a doorbell camera,Brooklyn
20230412,assault,Physical altercation between two drivers,Bronx
20250528,robbery,Bank heist involving a masked individual; several customers provided statements,Manhattan
20240118,arson,Fire set to a vacant home,Staten Island
20231220,murder,Fatal shooting in a driveway; witness identified a silver sedan,Manhattan
20250711,fraud,Skimming device found at a gas pump,Manhattan
20240329,theft,Jewelry stolen from a residence; neighbor heard glass breaking,Brooklyn
20230518,bribery,Bribe offered to a licensing official,Staten Island
20250930,assault,Customer assaulted a fast-food worker; multiple patrons witnessed it,Queens
20241111,robbery,Pharmacy robbed of prescription meds,Brooklyn
20230719,arson,Intentional fire in a public park; witness reported a suspect,Bronx
20250220,theft,Backpack stolen from a bus station,Manhattan
20240822,murder,Shooting death outside a store; witness provided a height description,Staten Island
20230302,fraud,Mortgage fraud involving forged signatures,Manhattan
20251030,bribery,Cash exchange observed between a developer and an official,Manhattan
20241222,theft,Tools stolen from a garage; witness saw a white van leaving,Brooklyn
20230910,assault,Threats made with a weapon,Staten Island
20250425,robbery,Convenience store holdup; clerk provided a detailed statement,Queens
20241115,arson,Vehicle fire spread to a building,Brooklyn
20230528,murder,Body found in a wooded area; homicide suspected,Bronx
20250819,fraud,Identity theft involving a new credit line; bank teller acted as witness,Manhattan
20240101,theft,Laptop taken from a university cafe,Staten Island
20231105,bribery,Bribe offered to a DMV clerk; coworker reported the incident,Brooklyn
20251230,assault,Altercation at a transit stop; witness provided a suspect sketch,Manhattan
20240618,robbery,Mugging in a public park,Brooklyn
20231025,arson,Intentional fire in a dumpster,Staten Island
20250120,murder,Homicide resulting from a botched drug deal; witness fleeing the scene,Queens
20251114,bribery,Payoff offered to a city inspector for a building permit; witnessed by a site supervisor,Staten Island
20230402,theft,Shoplifting incident at a boutique store; no witnesses were present,Brooklyn
20240912,assault,Physical altercation outside a stadium; multiple fans witnessed the event,Brooklyn
20251219,murder,Fatal shooting in a residential alleyway,Bronx
20230628,fraud,Skimming device found on an ATM at a local bank; witness reported suspicious activity,Manhattan
20240130,arson,Trash fire set behind a library; janitor saw a suspect fleeing,Brooklyn
20250711,robbery,Armed robbery at a convenience store,Brooklyn
20231005,theft,Bicycle stolen from a front porch; neighbor saw a teenager on a bike,Staten Island
20240522,murder,Homicide investigation following a domestic dispute,Queens
20250314,bribery,Cash bribe offered to a traffic officer; dashcam footage acted as a witness,Staten Island
20231201,assault,Unprovoked attack on a transit platform,Manhattan
20241118,fraud,Identity theft involving a fraudulent loan application; bank manager acted as witness,Manhattan
20250830,arson,Vehicle set on fire in a public parking lot,Bronx
20230214,robbery,Mugging in a public park; witness provided a detailed height description,Manhattan
20240623,theft,Laptop stolen from a library table,Brooklyn
20250109,murder,Shooting death outside a nightclub; dozens of patrons witnessed the incident,Brooklyn
20230419,bribery,Bribe paid to bypass environmental safety codes,Staten Island
20240915,assault,Threats made with a blunt object during a dispute; neighbor called 911,Queens
20251111,theft,Power tools stolen from a construction site,Staten Island
20230805,fraud,Online auction scam resulting in financial loss; witness provided email logs,Manhattan
20240322,arson,Intentional fire set to a fence,Manhattan
20251015,robbery,Carjacking at a red light; witness provided a partial license plate,Bronx
20230714,theft,Purse snatched from a shopping cart,Brooklyn
20240215,murder,Body discovered in a wooded area; homicide suspected; no witnesses,Brooklyn
20250920,bribery,Attempted bribe of a building official,Brooklyn
20230501,assault,Bar fight leading to minor injuries; bartender was a witness,Staten Island
20241215,fraud,Insurance fraud involving property damage,Queens
20250606,arson,Structure fire at a vacant warehouse; witness saw a person with a gas can,Staten Island
20230919,theft,Bicycle stolen from a rack,Manhattan
20240705,robbery,Pharmacy robbed of prescription meds; pharmacist provided a statement,Brooklyn
20250131,murder,Fatal stabbing in a subway station,Bronx
20231115,bribery,Kickback paid to a purchasing agent; witnessed by a coworker,Brooklyn
20240411,theft,Package stolen from a mailroom,Brooklyn
20250814,assault,Security guard assaulted by a trespasser; witness recorded the fight,Brooklyn
20230305,fraud,Check kiting scheme uncovered at a bank,Staten Island
20241022,arson,Brush fire started with an accelerant; witness saw a suspect in the area,Queens
20250412,theft,Tools stolen from a work truck,Staten Island
20230122,robbery,Armed robbery of a pedestrian; a passerby saw the suspect flee,Manhattan
20240801,murder,Drive-by shooting incident; witness identified a dark sedan,Manhattan
20251210,bribery,Bribe offered to a licensing official,Bronx
20230630,assault,Physical fight in a parking lot; several bystanders intervened,Manhattan
20240112,theft,Phone stolen from a restaurant table,Brooklyn
20250702,fraud,Tax refund fraud using a stolen identity; witness provided a statement,Brooklyn
20231030,arson,Vehicle fire spread to a building,Staten Island
20240505,robbery,Store clerk robbed at gunpoint; customer saw the suspect flee,Queens
20250228,theft,Jewelry stolen from a residence,Staten Island
20230925,murder,Fatal shooting in a public park; witness provided a suspect sketch,Manhattan
20241102,bribery,Bribe paid to bypass an inspection,Manhattan
20250617,assault,Domestic violence incident; neighbor reported hearing a struggle,Bronx
20230412,fraud,Phishing attack targeting university students,Manhattan
20240128,arson,Intentional fire in a public park; witness saw a hooded figure,Brooklyn
20251119,theft,Backpack stolen from a bus station,Brooklyn
20230819,robbery,Convenience store holdup; witness hid in the back room,Staten Island
20240329,murder,Homicide investigation following a shooting,Queens
20250915,bribery,Attempted bribe of a city official; secretary witnessed the meeting,Staten Island
20230711,theft,Package theft from a porch,Manhattan
20241220,fraud,Mortgage fraud involving forged signatures; notary was a witness,Manhattan
20250522,assault,Physical altercation between two drivers,Bronx
20230227,arson,Small fire set in a vacant lot; witness reported a suspect fleeing,Manhattan
20240701,robbery,Armed robbery of a pedestrian,Brooklyn
20250415,theft,Tools stolen from a garage; neighbor saw a suspicious white van,Brooklyn
20231119,murder,Victim found with gunshot wounds; no immediate witnesses found,Staten Island
20240909,bribery,Bribe paid to an official for a city contract,Queens
20250210,assault,Person hit with a glass bottle; bartender saw the incident,Staten Island
20230528,fraud,Counterfeit currency passed at a market,Brooklyn
20241030,arson,Structure fire at a storage facility; fire marshal reported arson,Manhattan
20251225,theft,Lawn equipment stolen from a shed,Bronx
20230112,robbery,Mugging in an alleyway; witness provided a vehicle plate,Manhattan
20240404,murder,Shooting death outside a bar; several patrons witnessed the hit,Brooklyn
20251130,bribery,Cash bribe offered to a clerk,Brooklyn
20230928,theft,Bicycle stolen from a high school bike rack; no witnesses,Staten Island
20241212,fraud,Investment scam targeting seniors; witness provided a statement,Queens
20250615,assault,Fight at a transit station,Staten Island
20230719,arson,Car fire set in a residential driveway; neighbor caught it on video,Manhattan
20240211,robbery,Bank robbery by a lone suspect,Brooklyn
20251030,theft,Phone stolen from a gym locker; witness saw the suspect using bolt cutters,Bronx
20231205,murder,Homicide investigation at a motel,Manhattan
20240817,bribery,Bribe paid to influence a city contract; witness provided internal emails,Brooklyn
20250320,fraud,Check fraud at a boutique store,Brooklyn
20230514,assault,Road rage incident leading to a fight; witness recorded it on a phone,Staten Island
20240115,arson,Small fire started in a public restroom,Queens
20250919,theft,Package stolen from a porch; caught on camera with one witness,Staten Island
20231002,robbery,Street robbery involving a firearm,Manhattan
20240828,murder,Fatal stabbing in a subway station; witness on platform gave a statement,Brooklyn
20250220,bribery,Bribe offered to a building inspector,Bronx
20230612,theft,Wallet taken from a coat pocket,Brooklyn
20240315,fraud,Identity theft used to open accounts; bank teller acted as a witness,Brooklyn
20251125,assault,Customer assaulted a staff member,Brooklyn
20230905,arson,Vehicle set on fire; neighbor saw a person fleeing,Staten Island
20241102,robbery,Mugging in a public park,Queens
20250628,theft,Bicycle stolen from a balcony; neighbor witnessed the climb,Staten Island
20230722,murder,Shooting at a public park; three witnesses identified,Manhattan
20240118,bribery,Bribe offered to a DMV clerk,Manhattan
20250930,fraud,Investment fraud targeting local businesses; whistleblower provided evidence,Bronx
20231220,assault,Security guard assaulted by a trespasser,Brooklyn
20240410,arson,Intentional fire set in an empty lot; witness saw a suspect,Brooklyn
20250505,theft,Shoplifting of electronics,Brooklyn
20231015,robbery,Armed robbery of a pedestrian; witness provided a description,Staten Island
20240822,murder,Homicide investigation at an apartment complex,Queens
20250101,bribery,Cash exchange observed between a developer and an official,Staten Island
20230330,theft,Purse stolen from a chair,Brooklyn
20241220,fraud,Phishing scam targeting employees; IT department acted as witness,Manhattan
20250415,assault,Dispute between neighbors escalated to violence,Bronx
20230509,arson,House fire determined to be arson; neighbor saw someone running away,Manhattan
20241111,robbery,Store clerk robbed during a night shift,Brooklyn
20250810,theft,Tools stolen from a work van; witness saw a suspect fleeing,Brooklyn
20230628,murder,Investigation into a shooting death,Staten Island
20240101,bribery,Bribe offered to bypass a health inspection; witness recorded audio,Queens
20250214,fraud,Identity theft involving stolen mail,Staten Island
20230919,assault,Physical fight between two motorists; several drivers witnessed it,Brooklyn
20241030,arson,Trash can fire set behind a building,Manhattan
20250325,theft,Bicycle stolen from a residential porch; witness saw the suspect,Bronx
20231201,robbery,Bank robbery involving a masked suspect,Brooklyn
20240512,murder,Fatal stabbing in a park; witness provided a suspect description,Brooklyn
20250120,bribery,Bribe paid to influence a legal case,Brooklyn
20230815,theft,Package theft from a mailroom; security alerted by a witness,Staten Island
20241125,fraud,Insurance fraud involving property damage,Queens
20250601,assault,Person hit with a weapon; neighbor saw the hit,Staten Island
20230211,arson,Intentional fire in an abandoned home,Manhattan
20240419,robbery,Mugging at gunpoint; witness provided a suspect sketch,Manhattan
20250910,theft,Laptop stolen from a cafe,Bronx
20231030,murder,Body discovered in a dumpster; homicide suspected; no witnesses,Manhattan
20240705,bribery,Bribe paid to an official for a contract,Brooklyn
20251105,fraud,Skimming device found at a gas pump; witness reported tampering,Brooklyn
20230122,assault,Physical fight at a sporting event,Staten Island
20240215,arson,Fire set to a vehicle in a public lot; witness saw a suspect,Queens
20251215,theft,Lawn equipment stolen from a shed,Staten Island
20230514,robbery,Armed robbery of a pharmacy; pharmacist provided a statement,Brooklyn
20240925,murder,Fatal shooting in a residential driveway,Manhattan
20250819,bribery,Bribe offered to influence a city contract; witnessed by an aide,Bronx
20231128,fraud,Investment fraud targeting seniors,Manhattan
20240612,assault,Threats made with a weapon during a dispute; neighbor called 911,Brooklyn
20251015,arson,Small fire started in a vacant lot,Brooklyn
20230305,theft,Purse taken from a shopping cart; witness saw the suspect flee,Staten Island
20241201,robbery,Carjacking at gunpoint,Queens
20250422,murder,Shooting death outside a nightclub; several witnesses identified the car,Staten Island
20230910,bribery,Attempted bribe of a building inspector,Brooklyn
20241108,fraud,Check kiting scheme uncovered at a bank; bank teller was a witness,Manhattan
20250131,assault,Physical altercation between two neighbors,Bronx
20230722,arson,House fire determined to be arson; neighbor saw someone running,Manhattan
20240115,theft,Bicycle stolen from a rack,Brooklyn
20250510,robbery,Pedestrian mugged for their watch; witness saw the suspect flee,Brooklyn
20231225,murder,Homicide investigation following a shooting,Staten Island
20240405,bribery,Bribe paid to a government official; witnessed by a staffer,Queens
20250919,fraud,Counterfeit checks used for a purchase,Staten Island
20231002,assault,Physical fight at a bar; bartender saw the incident,Brooklyn
20240828,arson,Intentional fire set to a fence,Manhattan
20250220,theft,Laptop stolen from a library table; student saw the suspect,Bronx
20230612,robbery,Convenience store holdup,Manhattan
20240322,murder,Fatal stabbing in a subway; witness on platform gave a statement,Brooklyn
20251130,bribery,Bribe offered to bypass an inspection,Brooklyn
20230219,fraud,Skimming device found at a gas station,Staten Island
20241010,assault,Customer assaulted a staff member; multiple witnesses present,Queens
20250615,arson,Small fire set behind a building; witness saw a suspect,Staten Island
20230518,theft,Purse stolen from a chair,Brooklyn
20241222,robbery,Mugging in a public park; witness called 911 immediately,Manhattan
20250401,murder,Shooting death outside a store,Bronx
20230925,bribery,Cash exchange observed between a developer and an official,Manhattan
20240714,fraud,Investment fraud targeting local businesses,Brooklyn
20251025,assault,Physical altercation in a parking lot; witness recorded the fight,Brooklyn
20230115,arson,Vehicle fire spread to a building,Staten Island
20240129,theft,Bicycle stolen from a balcony,Queens
20250805,robbery,Armed robbery of a pharmacy; pharmacist provided a description,Staten Island
20230810,murder,Homicide investigation following a drive-by,Manhattan
20241115,bribery,Attempted bribe of a city official; witness recorded audio,Manhattan
20250528,fraud,Identity theft used to open accounts,Bronx
20230319,assault,Security guard assaulted by a trespasser,Brooklyn
20240210,arson,Fire set to a vacant storefront; witness saw a person fleeing,Brooklyn
20251220,theft,Package theft caught on camera,Brooklyn
20231105,robbery,Store clerk robbed during the night shift; witness provided a statement,Staten Island
20240618,murder,Fatal shooting in a residential neighborhood,Queens
20250925,bribery,Bribe paid to influence a legal case; witnessed by a clerk,Staten Island
20230701,fraud,Email scam asking for personal information,Manhattan
20240428,assault,Bar fight leading to minor injuries; security was a witness,Manhattan
20250105,arson,Intentional fire in a public park,Bronx
20231025,theft,Tools stolen from a construction site; witness saw a white truck,Manhattan
20240910,robbery,Mugging at gunpoint,Brooklyn
20251111,murder,Shooting death outside a nightclub; many patrons witnessed the hit,Brooklyn
20230505,bribery,Bribe paid to a building inspector,Staten Island
20241215,fraud,Skimming device found at a local market; witness reported tampering,Queens
20250310,assault,Threats made with a weapon,Staten Island
20230830,arson,House fire determined to be arson; neighbor saw a suspect flee,Manhattan
20240122,theft,Bicycle stolen from a front porch,Manhattan
20250715,robbery,Armed robbery of a pedestrian; witness provided a suspect sketch,Bronx
20230215,murder,Investigation into a fatal shooting; neighbor heard the shots,Manhattan
20241019,bribery,Bribe offered to influence a city contract,Brooklyn
20250625,fraud,Check fraud at a local boutique; witness identified the suspect,Brooklyn
20230915,assault,Physical altercation in a parking garage,Staten Island
20240310,arson,Car fire set in a public lot; witness saw a suspect,Queens
20251230,theft,Laptop stolen from a cafe,Staten Island
20231115,robbery,Convenience store holdup; clerk provided a detailed statement,Brooklyn
20240722,murder,Fatal stabbing in a park; no witnesses were present,Brooklyn
20250210,bribery,Bribe paid to bypass an inspection; coworker witnessed it,Bronx
20230412,fraud,Counterfeit bills passed at a grocery store,Manhattan
20240805,assault,Customer assaulted a staff member; multiple witnesses identified the hit,Brooklyn
20250119,arson,Intentional fire set to a fence,Brooklyn
20230625,theft,Purse snatched from a shopping cart; witness provided a description,Staten Island
20241111,robbery,Mugging at gunpoint,Queens
20251020,murder,Shooting death outside a store; witness provided a vehicle plate,Staten Island
20231228,bribery,Attempted bribe of a DMV clerk,Manhattan
20240515,fraud,Online romance scam leading to financial loss; victim was a witness,Manhattan
20250915,assault,Physical fight at a sporting event,Bronx
20230730,arson,Small fire set behind a building; witness saw a hooded figure,Manhattan
20240228,theft,Laptop taken from a library table,Brooklyn
20250422,robbery,Armed robbery of a pedestrian; witness provided a statement,Brooklyn
20241010,murder,Investigation into a shooting death,Staten Island
20230815,bribery,Bribe paid to influence a legal case; witnessed by an aide,Queens
20250615,fraud,Identity theft involving stolen mail,Staten Island
20240122,assault,Dispute at a bar escalated to violence; bartender saw the hit,Brooklyn
20231228,arson,Vehicle set on fire,Manhattan
20250915,theft,Bicycle stolen from a rack; witness saw the suspect flee,Bronx
20240515,robbery,Carjacking at a red light,Brooklyn
20231025,murder,Fatal stabbing during a dispute; neighbor reported the event,Brooklyn
20251111,bribery,Bribe offered to bypass building codes,Brooklyn
20240910,fraud,Insurance fraud involving property damage; witness provided photos,Staten Island
20230505,assault,Physical altercation between drivers,Queens
20250310,arson,Intentional fire set to a park bench; witness saw a suspect,Staten Island
20241215,theft,Package stolen from a porch,Manhattan
20230830,robbery,Mugging in a public park; witness provided a description,Manhattan
20250715,murder,Fatal shooting in a residential neighborhood,Bronx
20240215,bribery,Bribe paid to an official for a city contract; witnessed by a staffer,Brooklyn
20230628,fraud,Skimming device found at a gas pump,Brooklyn
20251212,assault,Customer assaulted a staff member; multiple witnesses present,Brooklyn
20240101,arson,Small fire set in a vacant lot; witness reported a suspect fleeing,Staten Island
20231015,theft,Bicycle stolen from a balcony,Queens
20250314,robbery,Armed robbery of a pharmacy; pharmacist provided a statement,Staten Island
20241118,murder,Shooting death in a parking lot; witness identified the getaway car,Brooklyn
20230711,bribery,Bribe offered to a licensing official,Manhattan
20250920,fraud,Investment fraud targeting the elderly; witness provided internal documents,Bronx
20240505,assault,Physical altercation between coworkers,Manhattan
20230214,arson,House fire determined to be arson; neighbor saw someone running away,Brooklyn
20251125,theft,Tools stolen from a work truck,Brooklyn
20240801,robbery,Pedestrian robbed of their cell phone at gunpoint; witness provided a description,Staten Island
20230630,murder,Homicide investigation at a local motel,Queens
20251210,bribery,Bribe paid for a liquor license; witnessed by a technician,Staten Island
20240112,fraud,Email scam asking for personal information,Manhattan
20230925,assault,Physical fight at a bar; bartender was a witness,Manhattan
20250418,arson,Intentional fire in a storage unit,Bronx
20241030,theft,Package theft caught on camera; neighbor provided the footage,Manhattan
20231111,robbery,Mugging in an alleyway,Brooklyn
20250702,murder,Shooting death outside a store; several witnesses were present,Brooklyn
20240322,bribery,Bribe offered to influence a city contract,Staten Island
20230528,fraud,Counterfeit bills passed at a market; cashier acted as a witness,Queens
20250228,assault,Domestic violence incident reported by a neighbor,Staten Island
20240909,arson,Vehicle set on fire in a public lot,Brooklyn
20230819,theft,Shoplifting of electronics; security guard acted as a witness,Manhattan
20251215,robbery,Armed robbery of a pedestrian,Bronx
20240405,murder,Fatal stabbing in a residential driveway; witness saw a suspect fleeing,Manhattan
20230129,bribery,Attempted bribe of a building inspector,Brooklyn
20250617,fraud,Check fraud at a local boutique; witness provided a statement,Brooklyn
20241102,assault,Physical fight at a sporting event,Staten Island
20231008,arson,Small fire set behind a building; witness reported a suspect,Queens
20250131,theft,Laptop stolen from a cafe,Staten Island
20240512,robbery,Carjacking at a red light; witness provided a vehicle description,Manhattan
20230714,murder,Shooting in a residential area; neighbor heard shots and called 911,Manhattan
20250325,bribery,Bribe paid to an official for a city contract,Bronx
